"Row ID","Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name",Segment,Country,City,State,"Postal Code",Region,"Product ID",Category,Sub-Category,"Product Name",Sales,Quantity,Discount,Profit,rk
9261,CA-2017-167976,11/11/2017,43053,"Second Class",JL-15505,"Jeremy Lonsdale",Consumer,"United States",Aberdeen,"South Dakota",57401,Central,OFF-SU-10004661,"Office Supplies",Supplies,"Acme Titanium Bonded Scissors",25.5,3,0,6.63,1
6990,CA-2017-165099,12/11/2017,43082,"First Class",DK-13375,"Dennis Kane",Consumer,"United States",Abilene,Texas,79605,Central,OFF-AP-10001634,"Office Supplies",Appliances,"Hoover Commercial Lightweight Upright Vacuum",1.392,2,0.8,-3.7584,1
4324,US-2015-147662,2/14/2015,42054,"Standard Class",KB-16315,"Karl Braun",Consumer,"United States",Akron,Ohio,44312,East,OFF-BI-10002160,"Office Supplies",Binders,"Acco Hanging Data Binders",2.286,2,0.7,-1.6764,1
3563,CA-2017-109757,9/4/2017,42987,"Second Class",MD-17350,"Maribeth Dona",Consumer,"United States",Akron,Ohio,44312,East,OFF-BI-10001634,"Office Supplies",Binders,"Wilson Jones Active Use Binders",4.368,2,0.7,-3.0576,2
9922,CA-2014-111360,11/24/2014,41973,"Standard Class",AT-10435,"Alyssa Tate","Home Office","United States",Akron,Ohio,44312,East,OFF-BI-10003350,"Office Supplies",Binders,"Acco Expandable Hanging Binders",5.742,3,0.7,-4.5936,3
3561,CA-2017-109757,9/4/2017,42987,"Second Class",MD-17350,"Maribeth Dona",Consumer,"United States",Akron,Ohio,44312,East,OFF-AR-10002335,"Office Supplies",Art,"DIXON Oriole Pencils",8.256,4,0.2,0.6192,4
3564,CA-2017-109757,9/4/2017,42987,"Second Class",MD-17350,"Maribeth Dona",Consumer,"United States",Akron,Ohio,44312,East,OFF-PA-10000007,"Office Supplies",Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4" x 6"""",11.52,4,0.2,3.744,5
4325,US-2015-147662,2/14/2015,42054,"Standard Class",KB-16315,"Karl Braun",Consumer,"United States",Akron,Ohio,44312,East,OFF-AR-10004999,"Office Supplies",Art,"Newell 315",14.352,3,0.2,0.897,6
4322,US-2015-147662,2/14/2015,42054,"Standard Class",KB-16315,"Karl Braun",Consumer,"United States",Akron,Ohio,44312,East,OFF-BI-10001658,"Office Supplies",Binders,"GBC Standard Therm-A-Bind Covers",14.952,2,0.7,-11.9616,7
3202,CA-2014-164224,5/18/2014,41779,"Second Class",TT-21070,"Ted Trevino",Consumer,"United States",Akron,Ohio,44312,East,OFF-PA-10001526,"Office Supplies",Paper,"Xerox 1949",15.936,4,0.2,5.7768,8
8390,CA-2016-102596,12/27/2016,42734,"First Class",RD-19810,"Ross DeVincentis","Home Office","United States",Akron,Ohio,44312,East,OFF-FA-10000621,"Office Supplies",Fasteners,"OIC Colored Binder Clips, Assorted Sizes",17.184,6,0.2,6.2292,9
201,CA-2017-105074,6/24/2017,42915,"Standard Class",MB-17305,"Maria Bertelson",Consumer,"United States",Akron,Ohio,44312,East,OFF-PA-10002666,"Office Supplies",Paper,"Southworth 25% Cotton Linen-Finish Paper & Envelopes",21.744,3,0.2,6.795,10
3562,CA-2017-109757,9/4/2017,42987,"Second Class",MD-17350,"Maribeth Dona",Consumer,"United States",Akron,Ohio,44312,East,OFF-BI-10004001,"Office Supplies",Binders,"GBC Recycled VeloBinder Covers",25.56,5,0.7,-20.448,11
4326,US-2015-147662,2/14/2015,42054,"Standard Class",KB-16315,"Karl Braun",Consumer,"United States",Akron,Ohio,44312,East,TEC-AC-10003280,Technology,Accessories,"Belkin F8E887 USB Wired Ergonomic Keyboard",71.976,3,0.2,0.8997,12
5370,CA-2017-147403,9/10/2017,42991,"First Class",KH-16630,"Ken Heidel",Corporate,"United States",Akron,Ohio,44312,East,OFF-PA-10003302,"Office Supplies",Paper,"Xerox 1906",85.056,3,0.2,28.7064,13
3201,CA-2014-164224,5/18/2014,41779,"Second Class",TT-21070,"Ted Trevino",Consumer,"United States",Akron,Ohio,44312,East,FUR-FU-10000308,Furniture,Furnishings,"Deflect-o Glass Clear Studded Chair Mats",149.232,3,0.2,3.7308,14
4093,CA-2017-166576,5/16/2017,42873,"First Class",JM-15865,"John Murray",Consumer,"United States",Akron,Ohio,44312,East,OFF-ST-10002574,"Office Supplies",Storage,"SAFCO Commercial Wire Shelving, Black",221.024,2,0.2,-55.256,15
8692,CA-2016-136770,8/14/2016,42600,"Standard Class",SP-20650,"Stephanie Phelps",Corporate,"United States",Akron,Ohio,44312,East,TEC-PH-10001530,Technology,Phones,"Plantronics Voyager Pro Legend",247.188,2,0.4,-49.4376,16
8691,CA-2016-136770,8/14/2016,42600,"Standard Class",SP-20650,"Stephanie Phelps",Corporate,"United States",Akron,Ohio,44312,East,TEC-PH-10003580,Technology,Phones,"Cisco IP Phone 7961G-GE VoIP phone",259.896,2,0.4,-56.3108,17
8693,CA-2016-136770,8/14/2016,42600,"Standard Class",SP-20650,"Stephanie Phelps",Corporate,"United States",Akron,Ohio,44312,East,TEC-AC-10000420,Technology,Accessories,"Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning",279.96,5,0.2,48.993,18
454,CA-2017-147277,10/20/2017,43032,"Standard Class",EB-13705,"Ed Braxton",Corporate,"United States",Akron,Ohio,44312,East,FUR-TA-10001539,Furniture,Tables,"Chromcraft Rectangular Conference Tables",284.364,2,0.4,-75.8304,19
4323,US-2015-147662,2/14/2015,42054,"Standard Class",KB-16315,"Karl Braun",Consumer,"United States",Akron,Ohio,44312,East,TEC-PH-10002834,Technology,Phones,"Google Nexus 5",323.982,3,0.4,-80.9955,20
455,CA-2017-147277,10/20/2017,43032,"Standard Class",EB-13705,"Ed Braxton",Corporate,"United States",Akron,Ohio,44312,East,OFF-ST-10000142,"Office Supplies",Storage,"Deluxe Rollaway Locking File with Drawer",665.408,2,0.2,66.5408,21
8099,CA-2017-122798,12/28/2017,43101,"Standard Class",SV-20935,"Susan Vittorini",Consumer,"United States",Albuquerque,"New Mexico",87105,West,OFF-PA-10004239,"Office Supplies",Paper,"Xerox 1953",4.28,1,0,1.926,1
4320,CA-2014-152345,12/29/2014,42007,"Second Class",ST-20530,"Shui Tom",Consumer,"United States",Albuquerque,"New Mexico",87105,West,TEC-PH-10004897,Technology,Phones,"Mediabridge Sport Armband iPhone 5s",23.976,3,0.2,-5.6943,2
4428,US-2017-103226,9/22/2017,43006,"Standard Class",DW-13195,"David Wiener",Corporate,"United States",Albuquerque,"New Mexico",87105,West,OFF-PA-10002666,"Office Supplies",Paper,"Southworth 25% Cotton Linen-Finish Paper & Envelopes",27.18,3,0,12.231,3
4321,CA-2014-152345,12/29/2014,42007,"Second Class",ST-20530,"Shui Tom",Consumer,"United States",Albuquerque,"New Mexico",87105,West,OFF-ST-10003123,"Office Supplies",Storage,"Fellowes Bases and Tops For Staxonsteel/High-Stak Systems",33.29,1,0,7.9896,4
3068,CA-2017-106859,3/13/2017,42812,"Second Class",BF-11215,"Benjamin Farhat","Home Office","United States",Albuquerque,"New Mexico",87105,West,OFF-PA-10001534,"Office Supplies",Paper,"Xerox 230",45.36,7,0,21.7728,5
2418,CA-2017-168655,10/12/2017,43026,"Standard Class",ML-18040,"Michelle Lonsdale",Corporate,"United States",Albuquerque,"New Mexico",87105,West,OFF-BI-10002082,"Office Supplies",Binders,"GBC Twin Loop Wire Binding Elements",79.872,3,0.2,29.952,6
